tools (comparison order: row x column),M100-C000_CRA_E,M100-C100_CRA_E,M100-C010_CRA_E,M100-C010-R_CRA_E,M100-C020-R_CRA_E,M100-C030-R_CRA_E,M090-C010-R_CRA_E,M080-C010-R_CRA_E,M100-C020_CRA_E,M100-C040_CRA_E,M100-C060_CRA_E,M100-C040-R_CRA_E,M100-C060-R_CRA_E,M090-C020-R_CRA_E,M080-C020-R_CRA_E
M100-C000_CRA_E P Value,1.0,2.8719471245608474E-11,3.273756255793847E-4,0.173777038979135,0.847587480259332,0.13928936568684847,0.8591839142744377,0.07604147583024301,2.8643369841985233E-5,4.83886264390776E-10,2.737665649732435E-10,0.011958983568951531,3.973938758172757E-6,0.5249522282756667,0.5742467278315232
M100-C000_CRA_E Cohen D,0.0,Large,Large,Small,0.009077797656863246,Small,0.03751142391931709,Small,Large,Large,Large,Medium,Large,0.10816290704439029,0.16298805366680183
M100-C000_CRA_E Cliff's delta,0.0,1.0,0.54,-0.20444444444444446,-0.028888888888888888,0.2222222222222222,0.02666666666666667,-0.26666666666666666,0.6288888888888889,0.9355555555555556,0.9488888888888889,0.37777777777777777,0.6933333333333334,0.09555555555555556,0.08444444444444445
M100-C100_CRA_E P Value,2.8719471245608474E-11,1.0,8.1210731472936E-9,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.128392351252728E-9,3.2070402775641327E-6,1.6322891824860353E-4,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11
M100-C100_CRA_E Cohen D,Large,NaN,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large
M100-C100_CRA_E Cliff's delta,-1.0,0.0,-0.8666666666666667,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.7,-0.5666666666666667,-1.0,-1.0,-1.0,-1.0
M100-C010_CRA_E P Value,3.273756255793847E-4,8.1210731472936E-9,1.0,3.2070402775641327E-6,1.8368404743662747E-4,0.004968934435653605,9.77489496784556E-4,6.067192022563006E-6,0.534635240703929,7.101417853454528E-4,3.9553873778852555E-5,0.0689901401299633,0.6467245773434842,0.0012045979432564469,0.0031076391357310884
M100-C010_CRA_E Cohen D,Large,Large,0.0,Large,Large,Large,Large,Large,0.08588476088207204,Medium,Large,Medium,Small,Large,Large
M100-C010_CRA_E Cliff's delta,-0.54,0.8666666666666667,0.0,-0.7,-0.5622222222222222,-0.4222222222222222,-0.4955555555555556,-0.68,0.09333333333333334,0.5088888888888888,0.6177777777777778,-0.2733333333333333,0.06888888888888889,-0.4866666666666667,-0.4444444444444444
M100-C010-R_CRA_E P Value,0.173777038979135,2.8719471245608474E-11,3.2070402775641327E-6,1.0,0.21427650986147695,5.715431241255509E-4,0.10707027092382149,0.3007110471483132,2.4025281379902452E-6,1.8647261512683144E-10,8.562994757710385E-11,2.1893128820726915E-4,3.05612812834255E-9,0.06459465037331802,0.08909163442771983
M100-C010-R_CRA_E Cohen D,Small,Large,Large,0.0,Small,Large,Small,Small,Large,Large,Large,Large,Large,Small,Medium
M100-C010-R_CRA_E Cliff's delta,0.20444444444444446,1.0,0.7,0.0,0.18666666666666668,0.5177777777777778,0.24222222222222223,-0.15555555555555556,0.7088888888888889,0.9577777777777777,0.9755555555555555,0.5555555555555556,0.8911111111111111,0.2777777777777778,0.25555555555555554
M100-C020-R_CRA_E P Value,0.847587480259332,2.8719471245608474E-11,1.8368404743662747E-4,0.21427650986147695,1.0,0.04757860204719877,0.7227197915710599,0.05843684682842065,2.3541591284148566E-5,7.043621241820119E-10,2.053268666202257E-10,0.010536525258653229,4.989799650134685E-7,0.4420179139756859,0.6151959787448549
M100-C020-R_CRA_E Cohen D,0.009077797656863246,Large,Large,Small,0.0,Small,0.031617132541060015,Medium,Large,Large,Large,Medium,Large,0.1076313195401677,0.16614962756320123
M100-C020-R_CRA_E Cliff's delta,0.028888888888888888,1.0,0.5622222222222222,-0.18666666666666668,0.0,0.29777777777777775,0.05333333333333334,-0.28444444444444444,0.6355555555555555,0.9266666666666666,0.9555555555555556,0.3844444444444444,0.7555555555555555,0.11555555555555555,0.07555555555555556
M100-C030-R_CRA_E P Value,0.13928936568684847,2.8719471245608474E-11,0.004968934435653605,5.715431241255509E-4,0.04757860204719877,1.0,0.18332122622250846,8.339303300103351E-4,1.365242843328618E-4,7.043621241820119E-10,4.005532572293191E-10,0.25495317799825334,3.9553873778852555E-5,0.30766901370797495,0.4077113766456858
M100-C030-R_CRA_E Cohen D,Small,Large,Large,Large,Small,0.0,Small,Large,Large,Large,Large,Small,Large,Small,Small
M100-C030-R_CRA_E Cliff's delta,-0.2222222222222222,1.0,0.4222222222222222,-0.5177777777777778,-0.29777777777777775,0.0,-0.2,-0.5022222222222222,0.5733333333333334,0.9266666666666666,0.94,0.1711111111111111,0.6177777777777778,-0.15333333333333332,-0.12444444444444444
M090-C010-R_CRA_E P Value,0.8591839142744377,2.8719471245608474E-11,9.77489496784556E-4,0.10707027092382149,0.7227197915710599,0.18332122622250846,1.0,0.04926066741360391,5.10139092601003E-5,1.0217967583159293E-9,2.737665649732435E-10,0.033257796630500214,6.067192022563006E-6,0.6681063796183102,0.6467245773434842
M090-C010-R_CRA_E Cohen D,0.03751142391931709,Large,Large,Small,0.031617132541060015,Small,0.0,Small,Large,Large,Large,Medium,Large,0.06715144597767445,0.12125418531064744
M090-C010-R_CRA_E Cliff's delta,-0.02666666666666667,1.0,0.4955555555555556,-0.24222222222222223,-0.05333333333333334,0.2,0.0,-0.29555555555555557,0.6088888888888889,0.9177777777777778,0.9488888888888889,0.32,0.68,0.06444444444444444,0.06888888888888889
M080-C010-R_CRA_E P Value,0.07604147583024301,2.8719471245608474E-11,6.067192022563006E-6,0.3007110471483132,0.05843684682842065,8.339303300103351E-4,0.04926066741360391,1.0,1.5479926480654882E-6,1.6931345214743487E-10,9.444944826242363E-11,2.320278143607135E-4,7.38550419709938E-8,0.028662685818345413,0.02558535265900963
M080-C010-R_CRA_E Cohen D,Small,Large,Large,Small,Medium,Large,Small,0.0,Large,Large,Large,Large,Large,Medium,Medium
M080-C010-R_CRA_E Cliff's delta,0.26666666666666666,1.0,0.68,0.15555555555555556,0.28444444444444444,0.5022222222222222,0.29555555555555557,0.0,0.7222222222222222,0.96,0.9733333333333334,0.5533333333333333,0.8088888888888889,0.3288888888888889,0.33555555555555555
M100-C020_CRA_E P Value,2.8643369841985233E-5,2.128392351252728E-9,0.534635240703929,2.4025281379902452E-6,2.3541591284148566E-5,1.365242843328618E-4,5.10139092601003E-5,1.5479926480654882E-6,1.0,0.0015968867051759927,2.132725918713163E-5,0.0052019215404482955,0.49645154752910825,1.1397542463797983E-4,2.6045625333503963E-4
M100-C020_CRA_E Cohen D,Large,Large,0.08588476088207204,Large,Large,Large,Large,Large,0.0,Medium,Large,Medium,Small,Large,Large
M100-C020_CRA_E Cliff's delta,-0.6288888888888889,0.9,-0.09333333333333334,-0.7088888888888889,-0.6355555555555555,-0.5733333333333334,-0.6088888888888889,-0.7222222222222222,0.0,0.47444444444444445,0.6388888888888888,-0.42,-0.10222222222222223,-0.58,-0.5488888888888889
M100-C040_CRA_E P Value,4.83886264390776E-10,3.2070402775641327E-6,7.101417853454528E-4,1.8647261512683144E-10,7.043621241820119E-10,7.043621241820119E-10,1.0217967583159293E-9,1.6931345214743487E-10,0.0015968867051759927,1.0,0.11536235969206343,1.0554251694827599E-8,4.216478371010801E-5,7.043621241820119E-10,2.128392351252728E-9
M100-C040_CRA_E Cohen D,Large,Large,Medium,Large,Large,Large,Large,Large,Medium,0.0,Small,Large,Large,Large,Large
M100-C040_CRA_E Cliff's delta,-0.9355555555555556,0.7,-0.5088888888888888,-0.9577777777777777,-0.9266666666666666,-0.9266666666666666,-0.9177777777777778,-0.96,-0.47444444444444445,0.0,0.23666666666666666,-0.86,-0.6155555555555555,-0.9266666666666666,-0.9
M100-C060_CRA_E P Value,2.737665649732435E-10,1.6322891824860353E-4,3.9553873778852555E-5,8.562994757710385E-11,2.053268666202257E-10,4.005532572293191E-10,2.737665649732435E-10,9.444944826242363E-11,2.132725918713163E-5,0.11536235969206343,1.0,1.1207914596411683E-9,5.3080990491949365E-8,3.0118940674839223E-10,2.4878743509759715E-10
M100-C060_CRA_E Cohen D,Large,Large,Large,Large,Large,Large,Large,Large,Large,Small,0.0,Large,Large,Large,Large
M100-C060_CRA_E Cliff's delta,-0.9488888888888889,0.5666666666666667,-0.6177777777777778,-0.9755555555555555,-0.9555555555555556,-0.94,-0.9488888888888889,-0.9733333333333334,-0.6388888888888888,-0.23666666666666666,0.0,-0.9155555555555556,-0.8177777777777778,-0.9466666666666667,-0.9511111111111111
M100-C040-R_CRA_E P Value,0.011958983568951531,2.8719471245608474E-11,0.0689901401299633,2.1893128820726915E-4,0.010536525258653229,0.25495317799825334,0.033257796630500214,2.320278143607135E-4,0.0052019215404482955,1.0554251694827599E-8,1.1207914596411683E-9,1.0,0.0022105923164218444,0.06459465037331802,0.07604147583024301
M100-C040-R_CRA_E Cohen D,Medium,Large,Medium,Large,Medium,Small,Medium,Large,Medium,Large,Large,0.0,Large,Medium,Small
M100-C040-R_CRA_E Cliff's delta,-0.37777777777777777,1.0,0.2733333333333333,-0.5555555555555556,-0.3844444444444444,-0.1711111111111111,-0.32,-0.5533333333333333,0.42,0.86,0.9155555555555556,0.0,0.46,-0.2777777777777778,-0.26666666666666666
M100-C060-R_CRA_E P Value,3.973938758172757E-6,2.8719471245608474E-11,0.6467245773434842,3.05612812834255E-9,4.989799650134685E-7,3.9553873778852555E-5,6.067192022563006E-6,7.38550419709938E-8,0.49645154752910825,4.216478371010801E-5,5.3080990491949365E-8,0.0022105923164218444,1.0,6.505728436412284E-6,2.06342813021676E-5
M100-C060-R_CRA_E Cohen D,Large,Large,Small,Large,Large,Large,Large,Large,Small,Large,Large,Large,0.0,Large,Large
M100-C060-R_CRA_E Cliff's delta,-0.6933333333333334,1.0,-0.06888888888888889,-0.8911111111111111,-0.7555555555555555,-0.6177777777777778,-0.68,-0.8088888888888889,0.10222222222222223,0.6155555555555555,0.8177777777777778,-0.46,0.0,-0.6777777777777778,-0.64
M090-C020-R_CRA_E P Value,0.5249522282756667,2.8719471245608474E-11,0.0012045979432564469,0.06459465037331802,0.4420179139756859,0.30766901370797495,0.6681063796183102,0.028662685818345413,1.1397542463797983E-4,7.043621241820119E-10,3.0118940674839223E-10,0.06459465037331802,6.505728436412284E-6,1.0,0.9646228051136888
M090-C020-R_CRA_E Cohen D,0.10816290704439029,Large,Large,Small,0.1076313195401677,Small,0.06715144597767445,Medium,Large,Large,Large,Medium,Large,0.0,0.05707263193202865
M090-C020-R_CRA_E Cliff's delta,-0.09555555555555556,1.0,0.4866666666666667,-0.2777777777777778,-0.11555555555555555,0.15333333333333332,-0.06444444444444444,-0.3288888888888889,0.58,0.9266666666666666,0.9466666666666667,0.2777777777777778,0.6777777777777778,0.0,0.006666666666666667
M080-C020-R_CRA_E P Value,0.5742467278315232,2.8719471245608474E-11,0.0031076391357310884,0.08909163442771983,0.6151959787448549,0.4077113766456858,0.6467245773434842,0.02558535265900963,2.6045625333503963E-4,2.128392351252728E-9,2.4878743509759715E-10,0.07604147583024301,2.06342813021676E-5,0.9646228051136888,1.0
M080-C020-R_CRA_E Cohen D,0.16298805366680183,Large,Large,Medium,0.16614962756320123,Small,0.12125418531064744,Medium,Large,Large,Large,Small,Large,0.05707263193202865,0.0
M080-C020-R_CRA_E Cliff's delta,-0.08444444444444445,1.0,0.4444444444444444,-0.25555555555555554,-0.07555555555555556,0.12444444444444444,-0.06888888888888889,-0.33555555555555555,0.5488888888888889,0.9,0.9511111111111111,0.26666666666666666,0.64,-0.006666666666666667,0.0
